AccountNumber,MeterID,BillingPeriodStart,BillingPeriodEnd,EnergyConsumedKwh,PeakDemandKw,TotalCostGBP,TariffCode,Country
ACC-001,MTR-EU-001,2024-01-01,2024-01-31,48200,85.4,5784.00,COM-STANDARD,GB
ACC-001,MTR-EU-002,2024-01-01,2024-01-31,21000,42.1,2520.00,COM-STANDARD,GB
ACC-001,MTR-EU-003,2024-01-01,2024-01-31,63500,112.8,7620.00,COM-STANDARD,GB
ACC-001,MTR-EU-001,2024-02-01,2024-02-29,44100,80.2,5292.00,COM-STANDARD,GB
ACC-001,MTR-EU-002,2024-02-01,2024-02-29,19800,38.7,2376.00,COM-STANDARD,GB
ACC-001,MTR-EU-003,2024-02-01,2024-02-29,58900,104.3,7068.00,COM-STANDARD,GB
ACC-001,MTR-EU-001,2024-03-01,2024-03-31,51200,91.0,6144.00,COM-STANDARD,GB
ACC-001,MTR-EU-002,2024-03-01,2024-03-31,22400,44.6,2688.00,COM-STANDARD,GB
ACC-001,MTR-EU-003,2024-03-01,2024-03-31,67800,120.1,8136.00,COM-STANDARD,GB
ACC-002,MTR-US-001,2024-01-01,2024-02-15,95000,210.5,11400.00,COM-US-GRID,US
ACC-002,MTR-US-001,2024-02-16,2024-03-15,82000,185.2,9840.00,COM-US-GRID,US
ACC-003,MTR-DE-001,2024-01-01,2024-01-31,38400,68.9,7296.00,COM-DE-GRID,DE
ACC-003,MTR-DE-002,2024-02-01,2024-02-29,0,0,0.00,COM-DE-GRID,DE
